FID,borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng
151,4.000000000000000,Queens,081,QN60,Kew Gardens,20455799.503400001674891,21357.618030300000100
152,4.000000000000000,Queens,081,QN21,Middle Village,57684674.774899996817112,42668.259474200000113
153,4.000000000000000,Queens,081,QN30,Maspeth,35633309.420699998736382,41260.407187299999350
154,1.000000000000000,Manhattan,061,MN12,Upper West Side,34381053.222300000488758,29158.132669400001760
155,1.000000000000000,Manhattan,061,MN14,Lincoln Square,15805667.951799999922514,19866.053194600001007
156,2.000000000000000,Bronx,005,BX07,Bronxdale,15194897.263800000771880,17426.999317999998311
157,4.000000000000000,Queens,081,QN42,Oakland Gardens,50976145.322700001299381,42330.080443400001968
158,4.000000000000000,Queens,081,QN45,Douglas Manor-Douglaston-Little Neck,68567676.748699992895126,45832.624564899997495
159,5.000000000000000,Staten Island,085,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,140799012.150999993085861,71277.845058899998548
160,5.000000000000000,Staten Island,085,SI54,Great Kills,89602052.338899999856949,66118.096502900007181
161,3.000000000000000,Brooklyn,047,BK21,Seagate-Coney Island,38725865.595600001513958,51802.517449600003602
162,4.000000000000000,Queens,081,QN25,Corona,20080371.630899999290705,23870.154172899998230
163,2.000000000000000,Bronx,005,BX52,Schuylerville-Throgs Neck-Edgewater Park,88570461.298600003123283,91012.443727299993043
164,3.000000000000000,Brooklyn,047,BK26,Gravesend,31342555.110300000756979,39922.801880999999412
165,2.000000000000000,Bronx,005,BX17,East Tremont,19256405.162300001829863,29637.328294899998582
166,2.000000000000000,Bronx,005,BX22,North Riverdale-Fieldston-Riverdale,49046259.959700003266335,31856.094142599999032
167,2.000000000000000,Bronx,005,BX05,Bedford Park-Fordham North,14998883.241399999707937,22565.482199800000672
168,2.000000000000000,Bronx,005,BX06,Belmont,13557354.949400000274181,17114.430336299999908
169,2.000000000000000,Bronx,005,BX03,Eastchester-Edenwald-Baychester,40256749.662699997425079,59165.004770999999892
170,4.000000000000000,Queens,081,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,99449481.655399993062019,114076.635509999992792
171,2.000000000000000,Bronx,005,BX75,Crotona Park East,16316218.021900000050664,24754.759437600001547
172,5.000000000000000,Staten Island,085,SI32,Rossville-Woodrow,64959465.337499998509884,33239.330200299998978
173,5.000000000000000,Staten Island,085,SI48,Arden Heights,50407530.045400001108646,29689.445911399998295
174,4.000000000000000,Queens,081,QN15,Far Rockaway-Bayswater,54348630.010499998927116,49211.108276500002830
175,2.000000000000000,Bronx,005,BX09,Soundview-Castle Hill-Clason Point-Harding Park,51958970.216799996793270,67150.477779399996507
176,2.000000000000000,Bronx,005,BX99,park-cemetery-etc-Bronx,220896061.305999994277954,224026.901822000014363
177,3.000000000000000,Brooklyn,047,BK33,Carroll Gardens-Columbia Street-Red Hook,44600270.342299997806549,60795.911416900002223
178,1.000000000000000,Manhattan,061,MN99,park-cemetery-etc-Manhattan,91540542.153699994087219,155018.564314999995986
179,4.000000000000000,Queens,081,QN05,Rosedale,61614930.579800002276897,63276.643516800002544
180,4.000000000000000,Queens,081,QN22,Flushing,37864843.049000002443790,38363.970006800002011
181,4.000000000000000,Queens,081,QN62,Queensboro Hill,26555669.199799999594688,30555.408574000000954
182,1.000000000000000,Manhattan,061,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,37029727.287399999797344,45454.722802099997352
183,1.000000000000000,Manhattan,061,MN21,Gramercy,7531454.905109999701381,12091.587931599999138
184,3.000000000000000,Brooklyn,047,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,28462565.756200000643730,32363.990304599999945
185,3.000000000000000,Brooklyn,047,BK69,Clinton Hill,20528139.375599998980761,23971.461410399999295
186,3.000000000000000,Brooklyn,047,BK72,Williamsburg,11589988.040300000458956,16874.433578799998941
187,3.000000000000000,Brooklyn,047,BK99,park-cemetery-etc-Brooklyn,228790857.479000002145767,394313.013411999971140
188,1.000000000000000,Manhattan,061,MN36,Washington Heights South,23100222.750700000673532,22096.305029399998602
189,2.000000000000000,Bronx,005,BX26,Highbridge,16457230.363800000399351,18507.423927600000752
190,2.000000000000000,Bronx,005,BX63,West Concourse,19369542.224100001156330,28550.700370099999418
191,4.000000000000000,Queens,081,QN17,Forest Hills,57828447.572099998593330,36183.607827500003623
192,4.000000000000000,Queens,081,QN99,park-cemetery-etc-Queens,311684971.610000014305115,490146.604020000027958
193,4.000000000000000,Queens,081,QN03,Springfield Gardens South-Brookville,43263751.466200001537800,45266.267875099998491
194,4.000000000000000,Queens,081,QN98,Airport,227761739.733000010251999,134833.935261000005994
